"gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster"
"LPCAT2",2.44340173476836E-51,0.882160680030275,0.279,0.076,5.96532099526346E-47,"CMP"
"GPR183",2.86272025325429E-50,1.03734319271449,0.486,0.185,6.98904522629503E-46,"CMP"
"CLIC1",6.68025943506499E-50,0.84332443194879,0.876,0.744,1.63091853847677E-45,"CMP"
"FAM46A",1.03863905652591E-49,1.09732582973189,0.379,0.133,2.53573339260235E-45,"CMP"
"NFKBIA",2.9008932079707E-49,1.474697154228,0.845,0.637,7.08224067793967E-45,"CMP"
"OSBPL8",1.4206215303167E-48,1.20513297113832,0.517,0.248,3.46830540411519E-44,"CMP"
"ASAH1",1.44990883137508E-47,1.37113302837189,0.609,0.358,3.53980742091911E-43,"CMP"
"CTNNBL1",3.31927556786031E-45,1.07581361361764,0.391,0.154,8.10367937137415E-41,"CMP"
"NCF4",6.37042244199909E-42,0.790863748692271,0.339,0.117,1.55527493498966E-37,"CMP"
"CD44",1.83261045317883E-41,1.07544700088655,0.701,0.488,4.4741351603908E-37,"CMP"
"TMEM176B",3.58124198468084E-41,1.0622246314985,0.566,0.285,8.7432441813998E-37,"CMP"
"FXYD5",8.94712618542155E-40,0.95272066538367,0.756,0.56,2.18435138690882E-35,"CMP"
"ITM2A",3.18816752768724E-39,0.825961321524885,0.5,0.223,7.78359220209564E-35,"CMP"
"DUSP6",1.13651122900823E-38,1.13825278146738,0.397,0.166,2.7746785145007E-34,"CMP"
"TNFAIP3",3.40887040120881E-37,1.1985448377287,0.503,0.246,8.32241619751118E-33,"CMP"
"ARHGAP18",4.57450472107312E-37,1.0004370014429,0.399,0.177,1.11681958260279E-32,"CMP"
"STX3",1.09041635050472E-36,0.981900196082091,0.273,0.093,2.66214247812223E-32,"CMP"
"STMN1",2.55530989831316E-36,0.985379562385336,0.483,0.236,6.23853358574175E-32,"CMP"
"DTNBP1",4.84532305131441E-36,0.983376762868246,0.319,0.122,1.1829371697479E-31,"CMP"
"RHOBTB3",6.72260308252212E-36,0.897226877704776,0.365,0.151,1.64125631656695E-31,"CMP"
"SEPT2",9.42199463877682E-34,0.974143574807732,0.612,0.417,2.30028577111097E-29,"CMP"
"ID2",4.53570727818222E-33,1.11799007496335,0.652,0.428,1.10734757489541E-28,"CMP"
"RGS10",6.08297331261375E-33,1.02728925439597,0.578,0.347,1.48509710454152E-28,"CMP"
"PTPN6",2.47918792308488E-30,0.842010358413428,0.42,0.202,6.05268939541942E-26,"CMP"
"PRDX6",2.89741732036751E-30,0.989338165279201,0.661,0.495,7.07375464594523E-26,"CMP"
"ZEB2",2.45071168682583E-29,0.810127241371093,0.388,0.176,5.98316751221659E-25,"CMP"
"TSC22D1",8.87228390938734E-29,0.899164393513158,0.566,0.33,2.16607939363783E-24,"CMP"
"SDCBP",2.13768474172652E-28,0.92660391903739,0.632,0.44,5.21894352845113E-24,"CMP"
"AHR",6.74140575026969E-28,0.890463932047999,0.345,0.157,1.64584679987084E-23,"CMP"
"CRBN",2.23436398472581E-25,0.914282859067082,0.388,0.201,5.4549762323096E-21,"CMP"
"IL18",2.59087214288759E-25,0.753190192531012,0.31,0.138,6.32535524964576E-21,"CMP"
"ATP6V1F",1.23261757066564E-24,0.77481312134436,0.658,0.51,3.00931253702309E-20,"CMP"
"IER2",1.59709867304319E-24,1.04096913480069,0.667,0.522,3.89915670036765E-20,"CMP"
"EMP3",1.71012571090186E-24,0.750312273727181,0.69,0.491,4.1751009105958E-20,"CMP"
"ARL6IP5",1.2254160646103E-23,0.791166130467818,0.667,0.52,2.99173078013958E-19,"CMP"
"FOSB",1.49460418066841E-23,1.16062186938297,0.629,0.468,3.64892664668386E-19,"CMP"
"CD82",3.15074920920688E-23,0.755276844577375,0.644,0.49,7.69223911935768E-19,"CMP"
"SLC2A3",4.02348158281886E-22,0.945972160800849,0.445,0.245,9.82292793629396E-18,"CMP"
"ELF1",1.09663307641326E-21,0.891503232184818,0.555,0.383,2.67731999275533E-17,"CMP"
"RALB",2.425756570881E-21,0.754404829712267,0.316,0.157,5.92224209214887E-17,"CMP"
"LMO4",6.56156776171331E-21,1.10591794870719,0.362,0.205,1.60194115334469E-16,"CMP"
"NDFIP2",3.38296489075963E-20,0.786502490898459,0.365,0.2,8.25917048430056E-16,"CMP"
"BLVRA",5.32237288844339E-20,0.785881670485999,0.293,0.142,1.29940411698457E-15,"CMP"
"NCOA4",1.07456632875599E-19,0.916064928821608,0.368,0.213,2.62344623502489E-15,"CMP"
"HSCB",1.43633991752773E-19,0.901710945827585,0.296,0.15,3.5066802746522E-15,"CMP"
"BORCS7",2.24302491096087E-19,0.919325145312715,0.437,0.282,5.47612101761987E-15,"CMP"
"BACE2",4.05895178034245E-19,0.765999311398951,0.333,0.18,9.90952487652806E-15,"CMP"
"BIRC3",7.07524799137128E-18,1.32476076030165,0.445,0.288,1.72735104461339E-13,"CMP"
"TSC22D3",2.35144082854869E-15,0.792929306347572,0.807,0.669,5.74080763881877E-11,"CMP"
"SERPINB1",3.34957949510442E-14,0.838828840048889,0.483,0.36,8.17766337934792E-10,"CMP"
"NR4A2",6.95337666440055E-14,0.989234873272952,0.336,0.198,1.69759737884675E-09,"CMP"
"NFKBIZ",5.63870735909813E-13,0.877055452454513,0.376,0.248,1.37663401465022E-08,"CMP"
"PPP1R15A",3.18277425253186E-11,0.806688094441568,0.511,0.42,7.77042506013128E-07,"CMP"
"SELENOK",1.77725584306584E-09,0.890860312441567,0.514,0.46,4.33899241526095E-05,"CMP"
"C1QA",0,3.37264609061659,0.74,0.108,0,"DC"
"C1QB",0,3.34286370197163,0.721,0.103,0,"DC"
"HLA-DRA",0,3.03333976885024,0.974,0.411,0,"DC"
"C1QC",0,2.9316612757035,0.687,0.07,0,"DC"
"MMP12",0,2.88409582923843,0.36,0.031,0,"DC"
"HLA-DPB1",0,2.8570598765255,0.935,0.359,0,"DC"
"TYROBP",0,2.78574387020233,0.964,0.168,0,"DC"
"HLA-DPA1",0,2.7828341684928,0.931,0.357,0,"DC"
"AIF1",0,2.73659530878124,0.823,0.116,0,"DC"
"HLA-DRB1",0,2.72262026033918,0.904,0.321,0,"DC"
"HLA-DQA1",0,2.66091880320533,0.83,0.177,0,"DC"
"FCER1G",0,2.63959194184042,0.819,0.158,0,"DC"
"MS4A6A",0,2.53047868554311,0.713,0.08,0,"DC"
"IFI30",0,2.26790884693796,0.823,0.236,0,"DC"
"F13A1",0,1.94292837342333,0.325,0.025,0,"DC"
"LST1",0,1.91581708472206,0.719,0.116,0,"DC"
"MS4A7",0,1.88865710001292,0.58,0.07,0,"DC"
"DNASE1L3",0,1.84883509705631,0.255,0.018,0,"DC"
"MS4A4A",0,1.81749847077586,0.475,0.05,0,"DC"
"FOLR2",0,1.78560005096213,0.344,0.035,0,"DC"
"SPI1",0,1.66747309227383,0.649,0.098,0,"DC"
"IGSF6",0,1.54662341100404,0.465,0.052,0,"DC"
"MRC1",0,1.53618869355985,0.446,0.041,0,"DC"
"CLEC10A",0,1.53505831377932,0.379,0.028,0,"DC"
"GGTA1P",0,1.48758756092531,0.458,0.04,0,"DC"
"CSF1R",0,1.28729215391394,0.441,0.047,0,"DC"
"FPR3",0,1.24190693146658,0.466,0.044,0,"DC"
"CD86",0,1.19775175064745,0.477,0.058,0,"DC"
"MNDA",0,1.19005275584743,0.466,0.063,0,"DC"
"CALHM6",0,1.15360726118493,0.456,0.061,0,"DC"
"HCK",0,0.970070736516796,0.408,0.047,0,"DC"
"CLEC4A",0,0.936925176720503,0.348,0.036,0,"DC"
"FCGR2A",1.50589049657307E-307,1.73666173939629,0.491,0.075,3.6764810583335E-303,"DC"
"CD14",3.91291969834544E-301,2.17648726764952,0.571,0.105,9.55300215154056E-297,"DC"
"CYBB",1.43225439090276E-298,1.43723283773171,0.509,0.081,3.49670586994999E-294,"DC"
"STAB1",1.18365565856411E-294,1.49391806097919,0.398,0.051,2.88977692481842E-290,"DC"
"HLA-DQB1",3.44244889185912E-294,2.33584728334594,0.787,0.221,8.40439472458485E-290,"DC"
"MPEG1",1.59314078057551E-290,1.12427744501752,0.375,0.046,3.88949390169706E-286,"DC"
"HLA-DMB",3.91430861391583E-275,1.57092132083887,0.64,0.136,9.5563930500141E-271,"DC"
"PLA2G7",8.26802599342418E-271,1.26415270321464,0.332,0.038,2.01855586603458E-266,"DC"
"FGL2",3.35503386850669E-269,1.56284219147072,0.552,0.107,8.19097968657223E-265,"DC"
"RNASE6",3.84564601159991E-269,1.41785987309914,0.534,0.098,9.38876017272001E-265,"DC"
"CD74",1.11513153677685E-264,2.60701901636101,0.983,0.655,2.72248213388699E-260,"DC"
"IL4I1",2.5468959659964E-261,1.06054980899001,0.337,0.041,6.21799181138361E-257,"DC"
"LYZ",5.58159421697251E-259,2.7186542509008,0.8,0.256,1.36269041213167E-254,"DC"
"HLA-DMA",6.89022011032252E-255,1.88436886113768,0.787,0.245,1.68217833773414E-250,"DC"
"CD68",1.06893049574462E-242,1.8141749962417,0.659,0.176,2.60968691231091E-238,"DC"
"LILRB4",1.30994067354676E-238,0.893849039330959,0.336,0.044,3.19808916039706E-234,"DC"
"CFP",1.71355601889215E-234,0.863694303729517,0.263,0.028,4.18347566452331E-230,"DC"
"GPX1",4.26997323116211E-230,1.90659769344019,0.948,0.601,1.04247126465592E-225,"DC"
"ADAP2",4.50683996283361E-226,0.888647599348783,0.334,0.045,1.1002999085262E-221,"DC"
"RASSF4",4.94730936133597E-221,1.053503214461,0.396,0.066,1.20783610747656E-216,"DC"
"AC007192.1",5.40578798813806E-214,1.95020637541197,0.742,0.245,1.31976907942403E-209,"DC"
"CSTA",1.25666767498327E-208,1.43594306771937,0.417,0.075,3.06802846170415E-204,"DC"
"CLEC7A",1.85334259073667E-208,0.776553763276851,0.36,0.055,4.52475060102452E-204,"DC"
"CD4",2.92225201769938E-206,0.914846028026505,0.461,0.088,7.13438607601127E-202,"DC"
"TYMP",2.39791842767789E-199,1.87910723352413,0.824,0.383,5.85427804933279E-195,"DC"
"FCGR2B",9.94387566847228E-197,1.12121130604708,0.353,0.058,2.42769780570082E-192,"DC"
"MMP9",1.28902005606911E-193,1.80782272885049,0.287,0.04,3.14701356488712E-189,"DC"
"MAFB",5.85895816871645E-193,1.34630965937447,0.496,0.112,1.43040604731043E-188,"DC"
"FTL",1.58689492545518E-190,2.3585583422456,0.991,0.977,3.87424527100628E-186,"DC"
"NPC2",8.32825645597058E-189,1.86847318990043,0.904,0.554,2.03326053116066E-184,"DC"
"CTSZ",4.50289518018791E-184,1.87807506751276,0.728,0.299,1.09933682929108E-179,"DC"
"PLEK",1.05491457765808E-181,0.981581972912573,0.41,0.08,2.57546844989443E-177,"DC"
"C3AR1",1.31143190878839E-181,0.854288826275602,0.329,0.052,3.20172986211598E-177,"DC"
"CD163",1.84044761443764E-177,0.985809035660728,0.282,0.041,4.49326880588804E-173,"DC"
"FCGR3A",4.70879861075707E-170,1.02434768094678,0.329,0.055,1.14960609283023E-165,"DC"
"CSF2RA",1.64659268767775E-167,1.17301724166247,0.413,0.091,4.01999138769645E-163,"DC"
"LY96",5.47810921254675E-165,1.36169271390348,0.621,0.203,1.33742558315116E-160,"DC"
"HMOX1",7.97401381441097E-165,1.25324523320597,0.353,0.067,1.9467757326503E-160,"DC"
"ARRB2",2.14311827012983E-163,0.995821789196302,0.523,0.136,5.23220894469496E-159,"DC"
"TNFSF13B",5.28789333531818E-163,0.994304592770458,0.453,0.104,1.29098627888458E-158,"DC"
"KCTD12",1.90485562850351E-161,1.3034112614789,0.515,0.141,4.65051453142846E-157,"DC"
"GPR34",1.14865618542922E-159,0.780459552819312,0.286,0.045,2.80432921110691E-155,"DC"
"SAT1",3.50797491520445E-159,1.59128896271054,0.938,0.675,8.56436995798015E-155,"DC"
"SLCO2B1",4.73305219155636E-159,0.859489565924234,0.318,0.057,1.15552736204657E-154,"DC"
"HLA-DQA2",4.03296148278413E-158,1.01977076182299,0.25,0.036,9.84607216406916E-154,"DC"
"C1orf162",1.82221602686545E-157,1.16087381289581,0.465,0.11,4.4487582079893E-153,"DC"
"CST3",2.04675977686606E-154,2.08036772858879,0.929,0.581,4.99695931924079E-150,"DC"
"CPVL",9.79699898062931E-149,1.17069321147138,0.377,0.081,2.39183933113084E-144,"DC"
"FTH1",5.29485450713996E-148,1.6388192546129,0.995,0.985,1.29268577937315E-143,"DC"
"GATM",3.96736286007806E-147,0.766794227750363,0.26,0.041,9.68591968659457E-143,"DC"
"TMSB4X",1.81934980952877E-146,1.07464843133309,0.998,0.996,4.44176062498355E-142,"DC"
"CTSS",4.71271182288045E-144,1.57022127261244,0.749,0.359,1.15056146443803E-139,"DC"
"SRGN",3.47703965462737E-138,1.33283864766878,0.926,0.534,8.48884461280726E-134,"DC"
"CTSB",1.30958973855339E-136,1.89328369333097,0.816,0.47,3.19723238770424E-132,"DC"
"ITGB2",3.13114093929566E-135,1.27792563984623,0.611,0.207,7.64436748919642E-131,"DC"
"RGS10",3.26710329446616E-134,1.2811180332909,0.75,0.343,7.97630598310967E-130,"DC"
"CTSH",7.17224015111983E-133,1.5844817870225,0.652,0.284,1.7510307104944E-128,"DC"
"VAMP8",4.20269704703063E-132,1.31591555655045,0.84,0.478,1.02604645706206E-127,"DC"
"S100A9",1.22893210145533E-129,1.38801002440811,0.423,0.111,3.00031483249304E-125,"DC"
"GRN",3.47559590475081E-127,1.47523957601948,0.764,0.421,8.48531984185862E-123,"DC"
"CTSC",5.49038230674416E-127,1.47088553882614,0.752,0.365,1.34042193636852E-122,"DC"
"PSAP",6.64055351875948E-127,1.67005660019658,0.852,0.58,1.62122473606994E-122,"DC"
"CD83",1.4903938659342E-126,1.27583241437465,0.353,0.081,3.63864758429176E-122,"DC"
"TMSB10",2.5758515932874E-125,1.06572415567576,0.995,0.985,6.28868407985187E-121,"DC"
"GPR183",3.07418731935064E-124,1.08733819351752,0.568,0.182,7.50532092146266E-120,"DC"
"RNF130",5.88841123011573E-123,1.1539005222279,0.547,0.194,1.43759671772046E-118,"DC"
"NINJ1",8.93223436397185E-123,1.17728327136276,0.516,0.173,2.18071569762009E-118,"DC"
"THEMIS2",2.57352345047984E-118,0.757588810963309,0.377,0.096,6.28300015200149E-114,"DC"
"LCP1",3.20096673741871E-117,0.938464613003852,0.604,0.206,7.81484019273403E-113,"DC"
"ACP5",6.44049520195655E-117,1.38310045434102,0.503,0.166,1.57238249860567E-112,"DC"
"TGFBI",1.02417231672502E-113,1.11241715594933,0.566,0.202,2.50041429405247E-109,"DC"
"ACTB",3.51261360148101E-112,1.25106282350785,0.991,0.961,8.57569484665575E-108,"DC"
"CXCL16",2.11560220707987E-111,0.88095112608855,0.454,0.143,5.16503122836478E-107,"DC"
"GABARAP",5.73763193514609E-111,0.926117463452595,0.938,0.757,1.40078546064657E-106,"DC"
"BLVRA",9.23887553225168E-108,0.962476527516921,0.439,0.139,2.25557907244393E-103,"DC"
"TMEM176A",1.82484551803549E-105,1.22184221567003,0.608,0.259,4.45517784773185E-101,"DC"
"RAB31",5.86233195769849E-105,0.857411408587594,0.463,0.145,1.43122972415251E-100,"DC"
"TMEM176B",6.99252730991201E-103,1.15199155349944,0.639,0.283,1.70715561744192E-98,"DC"
"DAB2",1.0209726091123E-100,1.53633154708047,0.506,0.196,2.49260252788677E-96,"DC"
"PLEKHO1",1.58219701867143E-100,0.781162342599781,0.396,0.115,3.86277580138443E-96,"DC"
"CXCL8",1.88261855123742E-100,1.63892856655999,0.423,0.135,4.59622493099104E-96,"DC"
"C1orf54",2.23917128345454E-97,0.996090924553524,0.399,0.12,5.46671277142591E-93,"DC"
"TNFAIP2",9.16470469531514E-97,0.938438498517726,0.341,0.094,2.23747100431424E-92,"DC"
"RNASE1",3.15801342718673E-95,3.02097719247391,0.48,0.19,7.70997398113367E-91,"DC"
"RNASEK-C17orf49",2.09232111712582E-94,1.03778792239653,0.91,0.762,5.10819277535096E-90,"DC"
"SAMSN1",4.15505426721558E-94,0.840430509350822,0.518,0.178,1.01441494879801E-89,"DC"
"GLUL",1.4340156477071E-93,1.29878280970762,0.649,0.322,3.50100580231211E-89,"DC"
"LGMN",1.70517115410009E-93,1.83476768738067,0.499,0.207,4.16300485561996E-89,"DC"
"AP2S1",2.14023224824432E-92,1.11467034763093,0.783,0.495,5.22516301086369E-88,"DC"
"CYBA",1.04922724114843E-91,1.05035044128524,0.931,0.824,2.56158338653978E-87,"DC"
"BCL2A1",7.39417596277832E-90,0.993523290806392,0.346,0.097,1.8052141195527E-85,"DC"
"JAML",1.1459251553217E-88,0.890295056520489,0.348,0.097,2.79766167420239E-84,"DC"
"APOC1",2.99723744252922E-87,1.30953818945582,0.368,0.114,7.31745549219083E-83,"DC"
"CREG1",9.75815130289513E-87,1.07068885973593,0.501,0.209,2.38235505908882E-82,"DC"
"SLC7A7",2.23239974315635E-85,0.771550819196981,0.332,0.098,5.4501807329419E-81,"DC"
"LGALS2",5.51692143514657E-85,1.21832039099696,0.353,0.107,1.34690119917668E-80,"DC"
"GPX4",5.39656787078322E-83,1.12622247749406,0.845,0.672,1.31751807997301E-78,"DC"
"LGALS9",1.24263327452447E-81,0.851621887230965,0.466,0.18,3.03376487642405E-77,"DC"
"MARCKS",5.19168645382816E-80,1.06521220852328,0.63,0.321,1.26749833083761E-75,"DC"
"SLC40A1",5.93186165886209E-80,1.66277464590992,0.42,0.164,1.44820470539459E-75,"DC"
"ATP6V1B2",4.95791082496603E-78,0.839800789840058,0.425,0.159,1.21042434880721E-73,"DC"
"LITAF",5.22385884896814E-77,1.14283213907445,0.644,0.365,1.27535289938708E-72,"DC"
"SGK1",1.6124997070092E-76,1.00817990635814,0.392,0.137,3.93675678469227E-72,"DC"
"MFSD1",1.02002881836216E-75,0.832795211796199,0.404,0.15,2.49029835714938E-71,"DC"
"RGS1",2.16697808684318E-75,0.948789938195973,0.754,0.403,5.29046030121893E-71,"DC"
"UCP2",1.39146477472113E-73,0.845481665458814,0.539,0.228,3.39712210100416E-69,"DC"
"CD40",1.79116066674017E-72,0.88047182113168,0.368,0.127,4.37293965177945E-68,"DC"
"ATOX1",2.25173892273827E-72,1.30304311561889,0.675,0.433,5.49739540597321E-68,"DC"
"HNMT",2.61293391531501E-72,0.982738983880456,0.48,0.211,6.37921686085008E-68,"DC"
"RHOG",2.91482698162769E-72,0.862602897932623,0.599,0.307,7.11625859294584E-68,"DC"
"ARPC5",4.04704799834345E-72,0.85699655937666,0.793,0.558,9.88046298315569E-68,"DC"
"AC120057.2",2.95357382350346E-71,0.857631676671965,0.864,0.694,7.21085513270134E-67,"DC"
"ITM2B",3.2192007179419E-71,1.00877203560218,0.929,0.793,7.85935663278335E-67,"DC"
"FCGRT",1.29585882034473E-70,1.32918697024478,0.664,0.4,3.16370972398963E-66,"DC"
"CAPG",1.24396236697222E-67,1.39616399083485,0.57,0.315,3.03700972272597E-63,"DC"
"ATP6V0C",1.64155473146304E-66,0.781698295260159,0.776,0.554,4.00769172139386E-62,"DC"
"ALOX5AP",4.94534854110989E-66,1.06194960013337,0.525,0.233,1.20735739282657E-61,"DC"
"LGALS1",1.7346143983592E-65,0.841809913392195,0.89,0.647,4.23488759215415E-61,"DC"
"AC093525.2",3.58304279090128E-65,0.757155293267262,0.775,0.553,8.74764066970637E-61,"DC"
"RB1",7.70472314072233E-65,0.878886671282018,0.379,0.146,1.88103110757595E-60,"DC"
"CTSD",9.05869193467897E-65,1.68381447911309,0.682,0.478,2.21158904893252E-60,"DC"
"PPT1",5.85139610391539E-64,0.883979651650803,0.501,0.24,1.4285598448099E-59,"DC"
"MAF",6.88093296800388E-64,1.0743815160494,0.375,0.141,1.67991097480847E-59,"DC"
"S100A11",8.60633914909377E-64,0.753410652968425,0.916,0.737,2.10115163985975E-59,"DC"
"ATP6V0B",9.95790021832152E-64,0.965357155321369,0.706,0.472,2.43112175930102E-59,"DC"
"LIPA",6.34303808761465E-63,0.953651191206566,0.396,0.161,1.54858931871024E-58,"DC"
"GRINA",7.84107405215337E-63,0.802932844065105,0.461,0.212,1.91431981909272E-58,"DC"
"TPP1",8.59626176021426E-63,0.787435311445662,0.515,0.245,2.09869134613871E-58,"DC"
"SDCBP",2.14455643947874E-61,0.918242260646019,0.719,0.438,5.2357200913434E-57,"DC"
"COTL1",7.36990338917274E-61,0.986771712614415,0.601,0.312,1.79928821343263E-56,"DC"
"IER3",4.43312015644684E-60,0.952567645785746,0.546,0.276,1.08230195499493E-55,"DC"
"FAM49B",1.81617435652377E-59,0.848231059790395,0.602,0.331,4.43400807401712E-55,"DC"
"LAP3",1.95838261882819E-56,0.840720687140591,0.491,0.247,4.78119532560714E-52,"DC"
"SNX2",2.09607592098217E-56,0.767339694633719,0.496,0.243,5.11735975348586E-52,"DC"
"CCL3",3.6055660395101E-56,0.93523521435752,0.32,0.113,8.80262892885996E-52,"DC"
"ARHGAP18",1.05472034084272E-52,0.757099485319632,0.396,0.176,2.57499424013341E-48,"DC"
"APOE",4.8022677201658E-52,1.04876378528716,0.401,0.171,1.17242564120128E-47,"DC"
"CSTB",7.5094736209966E-52,0.88347435274774,0.83,0.63,1.83336288983011E-47,"DC"
"ARPC3",8.6618503912399E-52,0.761696838043055,0.84,0.73,2.11470415451731E-47,"DC"
"SOD2",6.46268480482545E-51,1.2345040582256,0.618,0.386,1.57779986825008E-46,"DC"
"ATP6V1F",3.48232706641587E-50,0.940994187988998,0.69,0.509,8.50175329994771E-46,"DC"
"SELENOP",1.77729154604786E-47,2.43823856457522,0.458,0.27,4.33907958052124E-43,"DC"
"CTSL",3.75256128436315E-47,1.21780040588183,0.41,0.2,9.16150311964419E-43,"DC"
"RNASET2",3.11317139341798E-46,0.934802690889459,0.611,0.416,7.60049663989065E-42,"DC"
"VOPP1",4.36621084997168E-45,0.806689258125443,0.468,0.256,1.06596671691209E-40,"DC"
"ASAH1",2.28737967553485E-43,1.0047388441788,0.551,0.357,5.58440873985077E-39,"DC"
"ZFAND5",2.31690466466093E-42,0.832573524028877,0.558,0.343,5.65649104830318E-38,"DC"
"FUCA1",2.85507439216293E-42,1.17465832121511,0.317,0.141,6.97037862102658E-38,"DC"
"PYCARD",1.56927229478107E-39,0.757578607767221,0.59,0.388,3.83122138047851E-35,"DC"
"PLTP",8.34374790372039E-39,1.23332324537794,0.33,0.154,2.0370426132143E-34,"DC"
"PDK4",1.30395088067858E-38,0.980809064468572,0.306,0.131,3.18346568008869E-34,"DC"
"IL7R",1.39135727983051E-37,0.825833858854161,0.375,0.17,3.39685966297821E-33,"DC"
"BLVRB",2.46553012093392E-37,1.13953351606401,0.525,0.336,6.01934523724806E-33,"DC"
"FSCN1",6.9838712764535E-37,1.85059436226476,0.26,0.111,1.70504233343336E-32,"DC"
"PLAUR",2.42025426258771E-36,0.790844520528002,0.363,0.18,5.90880875668163E-32,"DC"
"C15orf48",6.65164582837712E-35,1.18135286151463,0.435,0.24,1.62393281253999E-30,"DC"
"NAMPT",1.81500443073095E-34,0.777366715947874,0.468,0.27,4.43115181718655E-30,"DC"
"PLD3",8.63911923368417E-33,0.98525255103325,0.465,0.292,2.10915456971165E-28,"DC"
"YWHAH",3.4991788820189E-29,0.9119206893836,0.506,0.333,8.54289532256095E-25,"DC"
"PRDX1",1.26706532166745E-20,0.763617699716305,0.761,0.673,3.0934132763189E-16,"DC"
"TXN",1.85321716187046E-20,1.20242987477576,0.776,0.653,4.52444437899053E-16,"DC"
"LSP1",1.13034396359013E-11,0.979127127047858,0.468,0.391,2.75962175270894E-07,"DC"
"CRIP1",7.80289918866235E-09,0.842905509482422,0.807,0.77,0.000190499980792,"DC"
"IDO1",1.92329699112196E-08,0.844340763633927,0.36,0.288,0.000469553727413,"DC"
"PPA1",7.46591984196174E-06,0.756120138558183,0.518,0.496,0.182272967021654,"DC"
"BIRC3",8.61359205341534E-06,1.218806002782,0.351,0.288,0.210292236392082,"DC"
"LEFTY1",3.01124137181398E-21,2.25657583876119,0.667,0.043,7.35164468514665E-17,"Embryonic_stem_cells"
"PRAC1",4.26953346699423E-09,2.32664756039514,0.667,0.105,0.000104236390063,"Embryonic_stem_cells"
"SULT1C2",6.46006121720452E-09,1.65779875325081,0.333,0.027,0.000157715934557,"Embryonic_stem_cells"
"SYT13",1.19709840840366E-08,1.23257530037502,0.333,0.028,0.000292259605428,"Embryonic_stem_cells"
"ADH1C",1.4688695545061E-07,1.83723813773841,0.333,0.032,0.003586098130371,"Embryonic_stem_cells"
"LGALS4",1.93582795398569E-07,2.20664493938282,1,0.315,0.004726130366861,"Embryonic_stem_cells"
"PHGR1",2.38342557222724E-06,1.88923022812334,1,0.418,0.058188951920356,"Embryonic_stem_cells"
"PCK1",6.5375182928871E-06,1.54913455136248,0.444,0.073,0.159606971602546,"Embryonic_stem_cells"
"EPCAM",9.12181120272178E-06,1.72828398018077,0.889,0.27,0.22269989870325,"Embryonic_stem_cells"
"ACADSB",9.55585206114225E-06,1.57081886455614,0.333,0.044,0.233296572220727,"Embryonic_stem_cells"
"PPRC1",1.06878021982201E-05,0.970755474624793,0.333,0.044,0.260932002867346,"Embryonic_stem_cells"
"SPINK1",1.196904324975E-05,1.94802226318051,0.667,0.163,0.292212221899396,"Embryonic_stem_cells"
"CHCHD10",1.4866695002856E-05,1.72816715916412,0.889,0.423,0.362955491799727,"Embryonic_stem_cells"
"MT1G",1.53278550701535E-05,1.79965343204197,0.556,0.116,0.374214253682728,"Embryonic_stem_cells"
"ARL14",2.27043381719135E-05,0.88341795261187,0.333,0.047,0.554303712129095,"Embryonic_stem_cells"
"NT5C3B",4.48606000503338E-05,1.38609313731987,0.556,0.141,1,"Embryonic_stem_cells"
"CDCA7",5.06550006737635E-05,1.42597602317693,0.444,0.088,1,"Embryonic_stem_cells"
"RBBP8NL",5.14343801511992E-05,1.47487258308725,0.333,0.051,1,"Embryonic_stem_cells"
"FXYD3",5.77968659415379E-05,1.16250893998096,0.889,0.335,1,"Embryonic_stem_cells"
"SEPT7P2",6.00565421465886E-05,1.35071439285096,0.333,0.051,1,"Embryonic_stem_cells"
"SATB2",7.19361637478376E-05,1.1072606162783,0.333,0.052,1,"Embryonic_stem_cells"
"HMGCS2",0.000133661691255,1.05385695160209,0.333,0.054,1,"Embryonic_stem_cells"
"HOXB9",0.000170995767313,1.25056560556997,0.333,0.058,1,"Embryonic_stem_cells"
"SLC25A6",0.000246412978019,1.00455768769418,1,0.822,1,"Embryonic_stem_cells"
"MMP15",0.000476194498185,0.97970978459369,0.333,0.064,1,"Embryonic_stem_cells"
"SH2D4A",0.000487245531392,1.28841040527726,0.333,0.065,1,"Embryonic_stem_cells"
"ERBB2",0.000542045991973,1.51130805455099,0.444,0.115,1,"Embryonic_stem_cells"
"HMGB3",0.000581116583014,1.45564502483049,0.444,0.115,1,"Embryonic_stem_cells"
"CKB",0.000787689047258,1.2375883589302,0.556,0.186,1,"Embryonic_stem_cells"
"LGALS2",0.000809418047973,1.15864439536844,0.444,0.111,1,"Embryonic_stem_cells"
"GPX2",0.000892763844068,1.99380293075219,0.667,0.26,1,"Embryonic_stem_cells"
"DDX41",0.000962020029661,1.46812307271862,0.444,0.124,1,"Embryonic_stem_cells"
"CBR4",0.001024887114841,1.5399155576014,0.444,0.127,1,"Embryonic_stem_cells"
"ERBB3",0.001211620060865,1.2722984361712,0.444,0.127,1,"Embryonic_stem_cells"
"MT-CO2",0.001238620117047,1.0203040916917,1,0.996,1,"Embryonic_stem_cells"
"FAM210A",0.001524927373884,1.11339329122899,0.333,0.074,1,"Embryonic_stem_cells"
"NBEAL1",0.001547322192722,1.23655258495505,0.444,0.13,1,"Embryonic_stem_cells"
"PPP1R1B",0.002103226086295,1.56533879449775,0.444,0.132,1,"Embryonic_stem_cells"
